#hypernode	nodes
http://pathwaycommons.org/pc12/Protein_b70899cb4690f2f7075cff5df75c1b45	http://pathwaycommons.org/pc12/Protein_b70899cb4690f2f7075cff5df75c1b45
http://pathwaycommons.org/pc12/Protein_01c005333304be75d5c8b50a75897c07	http://pathwaycommons.org/pc12/Protein_01c005333304be75d5c8b50a75897c07
http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f	http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f
http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6
http://pathwaycommons.org/pc12/Protein_ec35469d988fb8eb5c39fdfa02470762	http://pathwaycommons.org/pc12/Protein_ec35469d988fb8eb5c39fdfa02470762
http://pathwaycommons.org/pc12/Protein_861d29d45b3482f42a9435b3dffa6308	http://pathwaycommons.org/pc12/Protein_861d29d45b3482f42a9435b3dffa6308
http://pathwaycommons.org/pc12/Protein_037001d14ad7601b82c325eeaac1cc36	http://pathwaycommons.org/pc12/Protein_037001d14ad7601b82c325eeaac1cc36
http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737	http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Protein_bc68349b4d586948727302f1b6c51a72	http://pathwaycommons.org/pc12/Protein_bc68349b4d586948727302f1b6c51a72
http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0	http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Protein_56549a1dd9d63b846da5789dfc30b095	http://pathwaycommons.org/pc12/Protein_56549a1dd9d63b846da5789dfc30b095
http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9	http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9
http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4
http://pathwaycommons.org/pc12/Protein_8fae4274ab0a6e3ba0bc8d177ee01521	http://pathwaycommons.org/pc12/Protein_8fae4274ab0a6e3ba0bc8d177ee01521
http://pathwaycommons.org/pc12/Protein_6eae9e1fb8e906b20a3ebdf4485a4a3d	http://pathwaycommons.org/pc12/Protein_6eae9e1fb8e906b20a3ebdf4485a4a3d
http://pathwaycommons.org/pc12/Protein_6d35156146a3c034253ded805c9b151f	http://pathwaycommons.org/pc12/Protein_6d35156146a3c034253ded805c9b151f
http://pathwaycommons.org/pc12/Protein_3ee7cb2cb5f965ae637c5113f28663cc	http://pathwaycommons.org/pc12/Protein_3ee7cb2cb5f965ae637c5113f28663cc
http://pathwaycommons.org/pc12/Protein_f16f0a7c139d700b0272db47aeb76646	http://pathwaycommons.org/pc12/Protein_f16f0a7c139d700b0272db47aeb76646
